Title,Main Link,Sub Link,Status
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://www.facebook.com/,working
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://www.myspace.com/,working
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://www.blogger.com/start,status code: 429
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://www.livejournal.com/,working
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://www.movabletype.org/,working
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,,error: Invalid URL 'None': No scheme supplied. Perhaps you meant https://None?
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://wordpress.org/,working
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://chnm.gmu.edu/history/faculty/kelly/blogs/edwired,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref1,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref2,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref3,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref4,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref5,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref6,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref7,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref8,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/#ref9,working
The Role of Technology in World History Teaching,https://rrchnm.org/essays/the-role-of-technology-in-world-history-teaching/,https://web.archive.org/web/20220629190013/http://chnm.gmu.edu/worldhistorymatters/,working
